SampleNr|Timestamp|Magn|x|y|z
0|1018936964644873|4.56|0.91|3.91|-2.18
1|1018936983555623|4.52|0.91|3.84|-2.20
2|1018937003739165|4.45|0.87|3.73|-2.26
3|1018937023984582|4.29|0.81|3.54|-2.29
4|1018937043564915|4.17|0.78|3.31|-2.40
5|1018937063696123|4.04|0.75|3.07|-2.53
6|1018937083534582|3.84|0.73|2.79|-2.54
7|1018937103534248|3.63|0.72|2.55|-2.49
8|1018937124033290|3.41|0.69|2.36|-2.37
9|1018937143544498|3.13|0.58|2.17|-2.19
10|1018937163538832|2.80|0.52|1.97|-1.93
11|1018937183677373|2.42|0.48|1.78|-1.57
12|1018937203706332|2.08|0.45|1.65|-1.19
13|1018937223571415|1.87|0.42|1.57|-0.93
14|1018937245094332|1.72|0.43|1.49|-0.73
15|1018937263545373|1.53|0.45|1.40|-0.44
16|1018937283750623|1.52|0.47|1.42|-0.26
17|1018937303864248|1.54|0.49|1.42|-0.33
18|1018937323586832|1.39|0.56|1.26|-0.17
19|1018937343576790|1.21|0.76|0.83|0.44
20|1018937363625707|1.58|0.92|0.31|1.24
21|1018937383730832|1.77|0.88|0.04|1.54
22|1018937403581998|1.35|0.71|0.02|1.15
23|1018937423742623|0.81|0.61|0.11|0.53
24|1018937443589998|0.57|0.55|0.08|0.14
25|1018937463573957|0.49|0.46|-0.11|0.15
26|1018937483746915|0.57|0.40|-0.29|0.30
27|1018937503586915|0.67|0.43|-0.40|0.31
28|1018937523567749|0.62|0.38|-0.47|0.16
29|1018937543801124|0.52|0.18|-0.49|-0.03
30|1018937563564790|0.52|-0.02|-0.47|-0.21
31|1018937583592749|0.60|-0.24|-0.45|-0.32
32|1018937604285790|0.73|-0.41|-0.40|-0.45
33|1018937624280374|0.88|-0.51|-0.34|-0.64
34|1018937644277457|1.04|-0.62|-0.26|-0.79
35|1018937664069540|1.14|-0.73|-0.18|-0.85
36|1018937683973790|1.11|-0.73|-0.10|-0.83
37|1018937703847832|1.00|-0.71|-0.05|-0.71
38|1018937724084207|0.83|-0.66|-0.04|-0.50
39|1018937744268957|0.69|-0.60|-0.01|-0.35
40|1018937764078124|0.54|-0.49|0.04|-0.22
41|1018937784259332|0.40|-0.39|0.09|-0.03
42|1018937804041665|0.37|-0.29|0.15|0.16
43|1018937823991749|0.49|-0.32|0.27|0.26
44|1018937844424749|0.76|-0.51|0.48|0.30
45|1018937864013290|0.93|-0.60|0.66|0.27
46|1018937883921749|0.94|-0.51|0.69|0.38
47|1018937903980624|0.90|-0.43|0.45|0.65
48|1018937923928207|1.08|-0.44|0.11|0.98
49|1018937944228582|1.19|-0.44|-0.13|1.10
50|1018937964601915|1.04|-0.43|-0.19|0.92
51|1018937984274040|0.74|-0.37|-0.14|0.63
52|1018938003791165|0.49|-0.30|-0.08|0.38
53|1018938024040874|0.33|-0.24|-0.10|0.21
54|1018938044371082|0.28|-0.22|-0.15|0.09
55|1018938064882790|0.29|-0.20|-0.21|-0.01
56|1018938085426249|0.35|-0.19|-0.27|-0.13
57|1018938104955624|0.46|-0.20|-0.33|-0.25
58|1018938124283332|0.59|-0.23|-0.41|-0.35
59|1018938144408124|0.70|-0.26|-0.49|-0.44
60|1018938164497165|0.81|-0.28|-0.51|-0.57
61|1018938186808249|0.94|-0.30|-0.48|-0.76
62|1018938205990499|1.11|-0.30|-0.45|-0.97
63|1018938225536249|1.20|-0.24|-0.42|-1.10
64|1018938244349166|1.17|-0.17|-0.42|-1.08
65|1018938264643416|1.06|-0.11|-0.40|-0.98
66|1018938286095416|0.95|-0.09|-0.33|-0.88
67|1018938304433874|0.69|-0.03|-0.19|-0.66
68|1018938324469832|0.30|0.08|-0.06|-0.29
69|1018938344462791|0.18|0.18|0.04|0.04
70|1018938364509916|0.36|0.16|0.15|0.28
71|1018938384481832|0.53|0.04|0.28|0.45
72|1018938405432541|0.63|-0.00|0.38|0.49
73|1018938424444749|0.68|0.01|0.47|0.49
74|1018938444436957|0.67|0.09|0.38|0.54
75|1018938464356582|0.83|0.22|0.11|0.79
76|1018938484457707|1.16|0.26|-0.15|1.12
77|1018938504453416|1.30|0.19|-0.27|1.26
78|1018938524448082|1.17|0.03|-0.20|1.15
79|1018938544568166|0.93|-0.07|-0.10|0.92
80|1018938564252541|0.68|-0.00|-0.05|0.68
81|1018938584440791|0.45|0.22|-0.01|0.39
82|1018938605346166|0.50|0.50|0.02|0.07
83|1018938625346166|0.61|0.60|-0.01|-0.14
84|1018938633468624|0.74|0.67|-0.04|-0.30
85|1018938645618041|0.75|0.63|-0.17|-0.36
86|1018938664022082|0.80|0.58|-0.33|-0.45
87|1018938684319749|0.94|0.55|-0.43|-0.63
88|1018938706270166|1.12|0.47|-0.50|-0.89
89|1018938724120041|1.34|0.28|-0.53|-1.20
90|1018938744027957|1.60|0.10|-0.50|-1.51
91|1018938764151707|1.79|-0.05|-0.43|-1.73
92|1018938784709957|1.82|-0.17|-0.36|-1.77
93|1018938804463874|1.71|-0.26|-0.32|-1.66
94|1018938824250749|1.46|-0.29|-0.34|-1.39
95|1018938844981624|1.13|-0.33|-0.40|-1.00
96|1018938864394749|0.76|-0.42|-0.39|-0.49
97|1018938884204541|0.64|-0.56|-0.31|0.07
98|1018938904423207|0.87|-0.64|-0.15|0.56
99|1018938926938833|1.11|-0.70|0.12|0.84
100|1018938944508749|1.36|-0.83|0.51|0.95
101|1018938964300999|1.63|-0.94|0.92|0.96
102|1018938984380041|1.81|-0.76|1.01|1.29
103|1018939004643291|2.06|-0.48|0.59|1.92
104|1018939025475458|2.43|-0.34|0.01|2.40
105|1018939044422041|2.48|-0.42|-0.30|2.42
106|1018939064044208|2.21|-0.48|-0.44|2.11
107|1018939083848374|1.81|-0.42|-0.46|1.70
108|1018939104132583|1.32|-0.30|-0.38|1.22
109|1018939123969791|0.75|-0.14|-0.26|0.69
110|1018939144555833|0.28|-0.01|-0.18|0.21
111|1018939164097999|0.22|0.03|-0.21|-0.08
112|1018939183878166|0.38|0.04|-0.32|-0.21
113|1018939204035041|0.52|0.05|-0.42|-0.29
114|1018939224530916|0.67|0.15|-0.52|-0.40
115|1018939245378583|0.83|0.23|-0.56|-0.57
116|1018939264212541|1.00|0.24|-0.56|-0.80
117|1018939284304666|1.19|0.26|-0.53|-1.03
118|1018939304361249|1.37|0.29|-0.46|-1.26
119|1018939324313083|1.48|0.32|-0.35|-1.41
120|1018939344437666|1.53|0.36|-0.23|-1.47
121|1018939364584833|1.53|0.35|-0.07|-1.49
122|1018939384742374|1.36|0.31|0.07|-1.32
123|1018939404834374|0.99|0.31|0.15|-0.93
124|1018939424324374|0.58|0.31|0.18|-0.46
125|1018939444320583|0.37|0.30|0.21|-0.06
126|1018939464603874|0.43|0.21|0.33|0.19
127|1018939483963833|0.57|0.12|0.50|0.24
128|1018939503924749|0.69|0.19|0.58|0.31
129|1018939524083666|0.82|0.30|0.38|0.67
130|1018939543803416|1.35|0.30|0.01|1.32
131|1018939563694249|1.87|0.24|-0.27|1.84
132|1018939583850999|1.85|0.09|-0.26|1.83
133|1018939603711874|1.52|0.01|-0.13|1.52
134|1018939623770541|1.11|0.06|-0.08|1.11
135|1018939644021291|0.76|0.18|-0.05|0.74
136|1018939664068041|0.48|0.28|-0.01|0.39
137|1018939683694291|0.35|0.34|0.04|0.07
138|1018939703851041|0.37|0.35|0.00|-0.12
139|1018939723700583|0.39|0.30|-0.12|-0.22
140|1018939744039166|0.45|0.17|-0.21|-0.36
141|1018939763972125|0.58|0.06|-0.24|-0.53
142|1018939783693416|0.75|-0.03|-0.24|-0.71
143|1018939803998541|1.03|-0.10|-0.19|-1.01
144|1018939824048416|1.34|-0.22|-0.09|-1.32
145|1018939845100791|1.49|-0.27|0.01|-1.47
146|1018939867065708|1.44|-0.22|0.04|-1.42
147|1018939885756458|1.32|-0.10|0.07|-1.31
148|1018939904472458|1.05|-0.01|0.06|-1.05
149|1018939924331875|0.64|-0.00|0.07|-0.63
150|1018939944393416|0.28|0.03|0.18|-0.21
151|1018939964967083|0.40|0.12|0.29|0.26
152|1018939986156166|0.69|0.03|0.47|0.51
153|1018940004458916|0.92|-0.18|0.74|0.51
154|1018940024416666|1.06|-0.22|0.92|0.49
155|1018940044316833|1.13|-0.11|0.88|0.71
156|1018940064586000|1.10|-0.08|0.59|0.93
157|1018940085020916|1.15|-0.20|0.23|1.11
158|1018940104351750|1.24|-0.37|-0.01|1.19
159|1018940124678916|1.24|-0.48|-0.14|1.13
160|1018940144270541|1.09|-0.47|-0.23|0.96
161|1018940164526625|0.84|-0.44|-0.22|0.67
162|1018940184391708|0.60|-0.38|-0.21|0.41
163|1018940204560125|0.45|-0.28|-0.24|0.25
164|1018940224277208|0.42|-0.20|-0.34|0.15
165|1018940244492791|0.47|-0.13|-0.45|0.02
166|1018940264150125|0.55|-0.06|-0.51|-0.19
167|1018940284627375|0.71|-0.01|-0.51|-0.49
168|1018940306674791|0.94|0.00|-0.43|-0.84
169|1018940324623750|1.24|0.01|-0.33|-1.19
170|1018940344058458|1.41|0.02|-0.24|-1.39
171|1018940364568458|1.45|0.08|-0.19|-1.43
172|1018940384483250|1.43|0.17|-0.12|-1.41
173|1018940404451042|1.31|0.24|-0.06|-1.29
174|1018940424577500|1.07|0.28|-0.00|-1.03
175|1018940445333417|0.75|0.29|0.05|-0.70
176|1018940464261083|0.40|0.29|0.08|-0.27
177|1018940485434667|0.29|0.23|0.15|0.09
178|1018940503996292|0.48|0.15|0.22|0.40
179|1018940524096333|0.80|0.03|0.35|0.72
180|1018940544226083|0.96|0.01|0.49|0.82
181|1018940564015250|0.98|0.14|0.65|0.72
182|1018940584240500|0.99|0.34|0.58|0.73
183|1018940604507167|1.10|0.50|0.29|0.93
184|1018940625670375|1.22|0.49|0.05|1.11
185|1018940644536750|1.02|0.33|0.03|0.96
186|1018940665204417|0.66|0.17|0.09|0.64
187|1018940684492792|0.38|0.10|0.10|0.36
188|1018940704460750|0.28|0.14|0.05|0.24
189|1018940725507250|0.35|0.27|-0.02|0.22
190|1018940744944542|0.44|0.37|-0.10|0.21
191|1018940765552667|0.41|0.35|-0.16|0.13
192|1018940784448750|0.30|0.22|-0.19|-0.04
193|1018940804033167|0.33|0.10|-0.21|-0.23
194|1018940824457917|0.46|0.02|-0.20|-0.41
195|1018940844595833|0.72|-0.06|-0.15|-0.70
196|1018940864667750|1.06|-0.16|-0.07|-1.05
197|1018940884171750|1.35|-0.21|0.03|-1.33
198|1018940904483917|1.46|-0.19|0.12|-1.44
199|1018940924718292|1.45|-0.14|0.19|-1.43
200|1018940944566750|1.30|-0.08|0.22|-1.28
201|1018940964527500|0.96|-0.05|0.17|-0.95
202|1018940984839792|0.52|-0.10|0.11|-0.50
203|1018941004291542|0.23|-0.17|0.14|-0.07
204|1018941024729167|0.44|-0.15|0.17|0.37
205|1018941044608792|0.77|-0.16|0.23|0.72
206|1018941064547917|0.95|-0.29|0.47|0.78
207|1018941084553959|1.16|-0.46|0.80|0.70
208|1018941104468542|1.29|-0.42|1.02|0.67
